Cueanexo,departamento_id,SNU,SNU - INET,Secundario - INET,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20000100,2028,0,0,0,1,1,1,1
20000200,2028,0,0,0,0,0,1,0
20000300,2091,0,0,0,1,1,1,0
20000500,2091,0,0,0,1,1,1,1
20000700,2063,0,0,0,1,1,1,1
20000800,2063,0,0,0,0,0,1,0
20000900,2028,0,0,0,0,0,1,0
20001000,2028,0,0,0,0,0,1,0
20001100,2028,0,0,0,0,0,1,0
20001200,2028,0,0,0,0,0,1,0
20001500,2007,0,0,0,0,0,0,0
20001700,2091,0,0,0,1,1,1,0
20001800,2077,0,0,0,0,0,1,0
20001900,2021,0,0,0,0,0,0,0
20002000,2035,0,0,0,0,0,0,0
20002100,2021,0,0,0,0,0,0,0
20002200,2063,0,0,0,0,0,1,0
20002300,2063,0,0,0,0,0,1,0
20002400,2070,0,0,0,0,0,1,0
20002500,2070,0,0,0,0,0,1,0
20002600,2091,1,0,0,0,0,0,0
20002700,2091,0,0,0,0,1,0,0
20002800,2091,0,0,0,1,1,1,0
20002900,2028,0,0,0,1,1,1,0
20003100,2014,0,0,0,1,1,1,1
20003300,2007,0,0,0,0,1,1,0
20003400,2014,0,0,0,1,1,1,0
20003500,2007,0,0,0,1,1,0,0
20003600,2007,0,0,0,0,0,0,0
20003700,2028,0,0,0,0,1,0,0
20003701,2028,0,0,0,0,1,0,0
20003703,2028,0,0,0,0,1,0,0
20003800,2028,0,0,0,0,0,1,0
20003900,2028,0,0,0,0,0,1,0
20004000,2049,0,0,0,0,0,1,0
20004100,2028,0,0,0,0,0,1,0
20004200,2028,0,0,0,0,0,1,0
20004300,2028,0,0,0,0,0,1,0
20004400,2049,0,0,0,0,1,0,0
20004500,2014,0,0,0,0,0,0,0
20004600,2105,0,0,0,0,0,1,0
20004700,2098,0,0,0,1,1,1,0
20004800,2105,0,0,0,0,0,1,0
20004900,2028,0,0,0,0,1,1,0
20005000,2028,0,0,0,0,0,1,0
20005100,2105,0,0,0,0,0,1,0
20005200,2105,0,0,0,0,0,0,0
20005300,2028,0,0,0,0,0,1,0
20005400,2077,0,0,0,0,1,1,0
20005500,2007,0,0,0,1,1,0,0
20005600,2021,0,0,0,0,0,1,0
20005700,2028,0,0,0,0,0,0,0
20005800,2021,0,0,0,0,0,0,1
20005801,2091,0,0,0,0,0,1,1
20006000,2028,0,0,0,0,0,0,0
20006100,2007,0,0,0,0,0,0,0
20006200,2028,0,0,0,0,0,0,0
20006300,2007,0,0,0,0,0,1,0
20006500,2007,0,0,0,0,1,1,0
20007000,2007,0,0,0,0,0,0,0
20007100,2007,0,0,0,0,0,1,0
20007200,2007,0,0,0,1,1,1,0
20007300,2007,0,0,0,0,0,1,0
20007500,2070,0,0,0,0,1,0,0
20007501,2070,0,0,0,0,1,0,0
20007502,2070,0,0,0,0,1,0,0
20007600,2028,0,0,0,0,1,0,0
20007700,2028,0,0,0,0,0,1,0
20007800,2035,0,0,0,0,0,0,1
20007900,2063,0,0,0,0,0,0,1
20008000,2070,0,0,0,0,0,0,0
20008200,2014,0,0,0,1,1,1,0
20008300,2084,0,0,0,1,1,1,1
